0: Ravensburger Spiele Otto Maier; [164466: Loswerden, ]
1: Verlag Ravensburg; []
2: Ein mit Wörtern für 2 Personen ab 10 Jahren.; []
3: Ravensburger Spiele; []
4: Nr. 15.506; []
5: Inhalt; []
6: 2 Spielpläne aus Plastik; []
7: 2 Sätze mit je 51 Buchstaben 1 Notizblock 1 Spielregel. ist die europäische Ausgabe eines neuartigen amerikanischer Herkunft das unter dem Titel International Games Nassau Bahamas in Kanada und England erscheint.; [8536: Aktionspunkte, ]
8: Bei den Freunden des Denksports in aller Welt findet dieses Spiel großen Anklang da es sich ausgezeichnet zur Schulung des Gedächtnisses und der Konzentrations fähigkeit eignet.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
9: Wer gern knifflige Lösungen meistert wird an dem hohen Spannungsreiz dieses sein besonderes Vergnügen haben.; [8528: Siegpunkte, 1492: Siegbedingung, ]
10: Eine zusätzliche Gewinnchance bietet der vom Otto Maier Verlag Ravensburg ausgeschriebene Wettbewerb für das gesamte deutsche Sprachgebiet der zweimal jährlich die höchsten prämiert.; []
11: Auch mit der englischsprachigen Ausgabe und dem holländischen Otto Maier Benelux Amersfoort sind Wettbewerbe verbunden wodurch der internationale Charakter dieses Spieles dokumentiert wird.; []
12: Inhalt; []
13: Die beiden Spielpläne enthalten Kästchen für die Aufnahme der Buch; [8536: Aktionspunkte, ]
14: Der obere Teil besteht aus fünf Reihen mit Buchstaben in der Folge des Alphabets.; [1292: Zufall, ]
15: In diese werden vor Spielbeginn die 51 Buchstaben entsprechend; []
16: Dadurch kann der Spieler jederzeit den Vorrat seiner noch verfügbaren Buchstaben schnell überblicken.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
17: Der untere Teil stellt das eigentliche Spielfeld ein Quadrat mit 36 Kästchen dar.; [3173: Gemeinsames Spielfeld, ]
18: In 14 Reihen hat der Spieler die Möglichkeit aus seinem Buchstabenvorrat zusammenzusetzen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, ]
19: Die 6 horizontalen Nr. 1 6 die 6 Nr. 7 2 und die beiden diagonalen Reihen Nr. 13 und 14 sind auf dem Spielplan numeriert.; [3173: Gemeinsames Spielfeld, ]
20: Der Verlauf der Wörter in den Reihen 13 und 14 gilt nur von links oben nach rechts unten und von links unten nach rechts oben.; []
21: Neben dem beschriebenen Quadrat befindet sich das Es dient dem Spieler zur vorübergehenden Ablage eines den er gerade nicht in seinem Spielfeld verwenden kann.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
22: Ziel Der bemüht sich die 14 Reihen des mit möglichst langen Wörtern zu belegen deren Buchstabenhöchstzahl jedoch nur 6 betragen darf.; []
23: In den horizontalen und Reihen dürfen auch Wörter gebildet werden die weniger Buchstaben haben.; []
24: Dies gilt jedoch nicht für die beiden Diagonalen in denen unbedingt in der vorgeschriebenen Laufrichtung nur Wörter mit 6 Buchstaben zur Bewertung kommen.; [8528: Siegpunkte, ]
25: Der Spielplan enthält eine Tabelle die die anzeigt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
26: So erhält man für ein Wort mit 6 Buchstaben 20 Punkte 5 Buchstaben 10 Punkte 4 Buchstaben 5 Punkte 3; [8528: Siegpunkte, 1492: Siegbedingung, ]
27: Buchstaben; []
28: 2 Punkte Spielregel; [8528: Siegpunkte, 1492: Siegbedingung, ]
29: Ein einzelner Buchstabe kann in beiden Richtungen zählen wie bei einem Kreuzworträtsel.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
30: Sollte sich dieser Buchstabe zudem noch in einer gültigen Diagonalen befinden so zählt er insgesamt in drei Jede horizontale und Reihe kann Wörter mit 3 bis 6 Buchstaben aufnehmen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
31: Es ist auch gestattet zwei Wörter mit je 3 Buchstaben hinter einander in einer der Reihen 1 12 zu bilden.; []
32: In diesem Falle ergibt die Punktbewertung nur insgesamt 4 Punkte während ein Wort 20 einbringen würde.; [8528: Siegpunkte, 1492: Siegbedingung, ]
33: Wird ein Wort wie einmal zusammengestellt so gilt hier nur die Bewertung von 20 Punkten und nicht noch zusätzlich je 2 Punkte für ein und mal Daraus geht hervor daß ein Wort nur einmal zur Bewertung herangezogen werden darf.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
34: Wörterbücher und Lexika dürfen während des Spieles nicht benutzt werden.; [3173: Gemeinsames Spielfeld, ]
35: Sobald ein Spiel beendet ist kann zur Klärung von der Duden entscheiden ob ein Wort korrekt gebildet worden ist.; [7090: Kooperative Spielform, 166903: Ankommen, ]
36: Grundsätzlich gelten nur Wörter aus der hochdeutschen Sprache.; []
37: Ungültig sind Abkürzungen und Wörter die einem Dialekt entstammen.; []
38: Die Umlaute und werden als und gebildet.; []
39: Grundsätzlich gilt und das ist entscheidend für eine Teilnahme am Wettbewerb daß ein einmal plazierter Buchstabe nicht mehr im Verlauf sUCH 1. ER ETA; []
40: AN ORDEN; []
41: EI sENIL; []
42: ES juNG einer Partie umgelegt werden darf.; []
43: kann von zwei Personen oder aber auch von zwei Parteien gespielt werden.; [7090: Kooperative Spielform, ]
44: Spielverlauf Einer der Spieler beginnt indem er; [1492: Siegbedingung, ]
45: einen Buchstaben nach eigener Wahl seinem geordneten Vorrat im oberen Teil des entnimmt ihn laut ansagt und in seinem Spielfeld im unteren Teil des Planes plaziert.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
46: Gleichzeitig hat der Gegenspieler den angesagten Buchstaben ebenfalls aus seinem Vorrat zu nehmen und auf seinem Spielfeld unterzubringen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
47: Darauf hat der Gegenspieler nun einen Buchstaben nach eigener Wahl laut anzusagen und in seinem Spielfeld unterzubringen.; [3173: Gemeinsames Spielfeld, ]
48: Dieser Vorgang wechselt jedesmal so daß beide Spieler die gleichen Buchstaben in ihren plaziert haben jedoch voneinander abweichende Kombinationen vorbereiten.; [3142: Verlierbedingung, ]
49: Deshalb sollte man nicht gegenseitig auf den Spielplan schauen können.; [3173: Gemeinsames Spielfeld, ]
50: Die Ausführung der Spielunterlage mit den vertieften Kästchen für die Buchstaben erlaubt es daß eine Partie auch bei leichter Schräglage des Planes gespielt werden kann.; []
51: Beide Spieler werden also in Turnus nach eigenen Überlegungen ihr Quadrat mit den angesagten Buchstaben zu besetzen versuchen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
52: Anfangs ist es meist möglich diese leicht unterzubringen weil sich noch viele Kombinationen anbieten.; [8528: Siegpunkte, ]
