0: genommen bis dieser aufgebraucht ist.; []
1: Erst wenn alle Karten ausgespielt sind die letzte Karte muß also; [1292: Zufall, 164466: Loswerden, ]
2: ohne Auswahl gespielt werden mischt jeder Spieler seinen Stapel neu und nimmt wie am Anfang zwei neue Karten auf die Hand.; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
3: Spielende; []
4: Das Spiel ist beendet wenn der erste Stein das Zielfeld quasi Feld 61 erreicht hat.; [1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
5: Der Zug wird jedoch noch zu Ende ausgeführt.; []
6: Dann zählt jeder Spieler sein sowie den dann aktuellen Wert seiner Aktien zusammen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
7: Falls im gleichen Zug mehrere das Ziel erreichen zählt der Stein der das Zielfeld zuerst betreten hat als erster usw. Aachen Tel Fax 0241 21446 Spekulation; [3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
8: Ein Spiel von Dirk für Leute die den typischen verspüren wollen Design Barbara Weber Inhalt 1 Spielplan; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 166903: Ankommen, ]
9: 8 6 9 Karten 2 Würfel; [1292: Zufall, 164466: Loswerden, ]
10: 1 Symbolwürfel; []
11: Geld Spielziel; []
12: Ziel ist es am Ende reichster Spieler zu sein; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
13: Die acht werden auf das Startfeld gesetzt.; [3173: Gemeinsames Spielfeld, ]
14: Solange ein Stein dort steht ist er 20 Mäuse wert.; [1492: Siegbedingung, ]
15: Jeder Spieler erhält 20 Mäuse und einen Satz Karten bestehend aus je einer der acht verschiedenen plus einer Alle Kurse ausgesetzt; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
16: Von den jeder Firma werden eins weniger als Spieler teilnehmen auf den Spielplan gelegt bei 4 Spielern werden also 3 Aktien je Firma gebraucht; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
17: Die übrigen Aktien nehmen nicht am Spiel teil.; [164466: Loswerden, ]
18: Reihum wählen alle Spieler eine Aktie als Startkapital aus die jedoch alle verschiedene Farben haben müssen.; [1292: Zufall, 73230: Symmetrische Startbedingung, 164466: Loswerden, 3142: Verlierbedingung, ]
19: Anschließend mischt jeder Spieler seine Karten legt sie verdeckt vor sich und nimmt die zwei obersten Karten auf die Hand.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
