0: Auf den meisten Karten ist genau beschrieben zu welchem Zeitpunkt ihr sie ausspielen dürft.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
1: Entwicklungshilfe braucht ihr zum Geld ausgehen.; [1492: Siegbedingung, ]
2: Karten die vor einem Kam gespielt werden dürfen könnt ihr nur wie oben beschrieben in den Kampfschritten und spielen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
3: Wer an einem Kampf nicht direkt als Angreifer oder Verteidiger beteiligt ist darf keine Karten spielen.; [1292: Zufall, 164466: Loswerden, ]
4: Erläuterung ein Karten Ablenkungsmanöver kannst entweder deinen eigenen Würfelwurf oder den Würfelwurf eines Mitspielers für ungültig erklären sofern ihr beide an einem Kampf beteiligt seid.; [1292: Zufall, 3142: Verlierbedingung, ]
5: Wenn mehrere Spieler gemeinsam angreifen kannst du nur den Wurf von einem dieser Spieler für ungültig erklären nicht von mehreren.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
6: Der ungültige Wurf muss wiederholt werden.; []
7: Luxuskarosse; []
8: Diese Karte ist 1 Siegpunkt wert erhöht aber nicht den Verteidigungswert wie ein Gebäude Du kannst sie niemals ausspielen.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
9: Sie kann aber wie alle anderen Karten auch durch eine Versprechung des Präsidenten oder durch Beute machen den Besitzer wechseln.; [1292: Zufall, ]
10: IMPRESSUM; []
11: Kanonenboot; []
12: Als Angreifer erhöhst du deinen persönlichen um 3.; [8536: Aktionspunkte, ]
13: Als Verteidiger erhöhst du deinen Verteidigungswert um 3.; [8536: Aktionspunkte, ]
14: Als Unterstützer des Präsidenten erhöhst du den Verteidigungswert des Präsidenten um 3. Bauernaufstand; [8536: Aktionspunkte, ]
15: In diesem Kampf haben alle beteiligten Milizen aller Verteidiger den Wert 2.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
16: Wird der Präsident angegriffen gilt das sowohl für die Milizen des Präsidenten die dadurch stärker sind als sonst! als auch für die Milizen von Putschisten die den Präsidenten unterstützen.; []
17: Im betrifft diese Karte auch beteiligte Milizen des Präsidenten die zur Verteidigung verliehen wurden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
18: Bestechung; []
19: Im Grundspiel werden die Milizen des Präsidenten nicht zu seinem Verteidigungswert addiert.; [1492: Siegbedingung, ]
20: Im werden zusätzlich auch verliehene Milizen des Präsidenten ignoriert sie dürfen also nicht gewürfelt werden.; [1292: Zufall, 8536: Aktionspunkte, ]
21: Spion; []
22: Achte darauf den Zeitpunkt nicht zu verpassen wenn alle Putschisten ihre Würfel eingestellt haben.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, ]
23: Sobald der Präsident das Kommando gibt die aufzudecken ist es zu spät für den Spion.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
24: Studenten verteilen Flugblätter; []
25: Diese Karte hat keinen Effekt.; [1292: Zufall, ]
26: Du kannst sie niemals ausspielen.; []
27: Sie kann aber wie alle anderen Karten auch durch eine Versprechung des Präsidenten oder durch Beute machen den Besitzer wechseln.; [1292: Zufall, ]
28: Überraschungsangriff; []
29: In diesem Kampf werden die Gebäude des Verteidigers nicht zu seinem Verteidigungswert addiert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
30: Yacht Siehe Luxuskarosse.; []
31: Du darfst wählen ob genau 1 oder alle Würfel neu geworfen weiden.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
32: Du kannst aber beispielsweise nicht 2 von 3 Würfeln für ungültig erklären.; [1292: Zufall, 8536: Aktionspunkte, ]
33: irr Attentat; []
34: Du zerstörst 1 Miliz die an diesem Kampf gegen dich beteiligt ist.; [8536: Aktionspunkte, ]
35: Lege die Miliz nicht ins Anwesen ihres Besitzers zurück sondern in den Vorrat!; [8536: Aktionspunkte, 1492: Siegbedingung, ]
36: Autoren Sebastian; []
37: Christoph Reiser Lizenz; []
38: Agentur für Spieleautoren; []
39: Illustration Claus Stephan Martin Grafikdesign Claus Stephan Martin Hoffmann Schneider Realisation Copyright 2010; []
40: Pegasus Spiele GmbH Str. 2 61169 Friedberg.; [164466: Loswerden, ]
41: Alle Rechte Vorbehalten.; [164466: Loswerden, ]
42: HI AST; []
43: 9; []
44: Pegasus Spiele http http http; [164466: Loswerden, ]
45: Ein satirisches Würfelspiel für Intriganten ab 10 Jahren von Sebastian und Christoph Reiser; [1292: Zufall, ]
46: SPIELIDEE; []
47: Einige Jahre sind vergangen seit die Insel de las von Unruhen und beherrscht wurde.; [3173: Gemeinsames Spielfeld, ]
48: Das Militär hat stark an Bedeutung verloren private Milizen verrichten nun die Drecksarbeit.; [3142: Verlierbedingung, ]
49: Die Mitglieder der Junta leben zurückgezogen in pompösen Anwesen von ihren Schweizer Bankkonten.; [1292: Zufall, 7090: Kooperative Spielform, ]
50: Du gehörst der Junta an und befehligst private Milizen.; []
51: Raub deine Widersacher aus und den Präsidenten um selbst Präsident zu werden.; []
52: dir möglichst viele unter den Nagel heuere davon weitere Milizen an und bau dein Anwesen aus.; [8536: Aktionspunkte, ]
53: Gelingt dir das schneller als deinen Konkurrenten gewinnst du das Spiel.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
54: SPIELMATERIAL; []
55: DEM SPIEL; []
