0: muss ein Mal vom abgezogen werden Zeigen sie zwei unterschiedliche Tiere muss allerdings das Dritte nicht sichtbare Tier ein Mal vom Bestand abgezogen werden.; [1292: Zufall, 8528: Siegpunkte, ]
1: Wilderer Die geben Zwei vor; [1492: Siegbedingung, ]
2: Auf den sind 2 Bongos und 3 Rhinos zu sehen; []
3: Die zeigen ein Bongo und ein Gnu Ohne Wilderer müsste BONGO gerufen werden; []
4: Nur das ist auf den Tierwürfeln genau zwei Mal zu sehen; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
5: Die Wilderer haben nun aber ein Rhino erschossen es sind also auch nur noch 2 Rhinos im Spiel IDa Rhino und Bongo; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
6: letzt zwei Mal vorhanden sind ist das dritte Tier das Gnu gesucht; [8528: Siegpunkte, ]
7: Es gewinnt derjenige die Runde der als Erster GNU ruft; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
8: IMMER; []
9: NOCH; []
10: NICHT GENUG; []
11: ?; []
12: PASST; []
13: AUF; []
14: Wer noch mehr Verwirrung möchte kann auch noch; [164466: Loswerden, 1492: Siegbedingung, ]
15: den grünen Würfel dazu nehmen Dies ist ein Wildhüterwürfel; [1292: Zufall, ]
16: Das Tier das auf diesem Würfel zu sehen ist wird besonders beschützt; [1292: Zufall, ]
17: Wilderer haben bei diesen Tieren daher keine Chance; [8528: Siegpunkte, ]
18: Selbst wenn die anzeigen dass ein Tier vom Bestand abgezogen werden muss ist das; [1292: Zufall, ]
19: nicht der Fall wenn der grüne würfe das Tier; []
20: Die geben Zwei vor.; [1492: Siegbedingung, ]
21: Auf den Tierwürfeln sind 2 Bongos und 3 Rhinos zu sehen; [1292: Zufall, ]
22: Die Wildererwürfel zeigen zwei Rhinos; [1292: Zufall, ]
23: Ohne Wilderer musste BONGO gerufen werden nur das ist auf den Tierwürfeln genau zwei Mal zu sehen!; [1292: Zufall, 7090: Kooperative Spielform, ]
24: Die Wilderer wollen nun aber ein Rhino Würde das funktionieren musste GNU gerufen werden; []
25: Nun wird das Rhino aber durch den Wildhüterwürfel geschützt; [1292: Zufall, ]
26: Also bleibt alles beim Alten das Bongo ist zwei Mal zu sehen und es muss BONGO gerufen werden Verwirrend nicht wahr Trotzdem viel Spaß!; [7090: Kooperative Spielform, ]
27: Bongo ist erstmalig im Jahr 2000 erschienen Autor Bruno Illustration Frank Stark Redaktion Harald Heiko Eller Bearbeitung Layout Marina Produktionsmanagement Heiko Eller INHALT 8 in drei 2 in drei 1 Spielanleitung GRUNDSPIEL 222; []
28: Für Anfänger empfiehlt sich das Grundspiel Hierfür benötigt man die fünf naturfarbenen und die beiden gelben Die roten und der grüne; [1292: Zufall, ]
29: werden zur Seite gelegt; []
30: Die Würfel werden alle gleichzeitig gut durchgeschüttelt und dann auf einen Tisch gewürfelt; [1292: Zufall, 7090: Kooperative Spielform, ]
31: Nun gilt es herauszufinden welches Tier in dieser Runde gerufen werden muss; [8528: Siegpunkte, ]
32: Die geben dabei an nach wie vielen Tieren Ausschau gehalten werden muss Zeigen beide Würfel dieselbe Anzahl so; [1292: Zufall, 8536: Aktionspunkte, ]
33: ist der Fall eindeutig; []
34: Die angezeigte Anzahl Tiere wird gesucht; [8528: Siegpunkte, ]
35: Zeigen die beiden Würfel aber eine unterschiedliche Anzahl so wird nach der dritten also nicht angezeigten Anzahl Tieren Ausschau gehalten; [1292: Zufall, 8528: Siegpunkte, ]
36: Bei ist das Tier gesucht das; []
37: genau ein Mal zu sehen ist; []
38: Bei ist das 9 das genau zwei Mal zu sehen ist; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
39: Bei ist das Tier gesucht das genau drei Mal; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, ]
40: zu sehen ist ist das Tier gesucht das genau zwei Mal; [8536: Aktionspunkte, ]
41: zu sehen ist ist das Tier gesucht das genau drei Mal; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
42: zu sehen ist ist das Tier gesucht das; []
43: genau ein Mal zu sehen Ist; []
44: Nun wissen wir also; []
45: nach wie vielen Tieren wir Ausschau halten Hier suchen wir nach drei Tieren zeigen zwei Mal die Drei und auf den fünf Tierwürfeln sind ein Rhino ein Bongo und drei Gnus zu sehen; [1292: Zufall, ]
