0: Spielanleitung Regle du; []
1: Nr.; []
2: 4371 Kurzanleitung in Schachtel; []
3: Knete bereit; []
4: Knete formen Form abdrücken nur teilweise! verdeckt!; []
5: Form zurücklegen Abdruck weiter geben Detektiv Spürnase; []
6: Ein spannendes mit Knete für Kinder ab 4 Jahren.; [7090: Kooperative Spielform, ]
7: Spieldauer Minuten Spielidee Stefanie und Christian Wolf Grafik; [7090: Kooperative Spielform, ]
8: Eine geheimnisvolle Spur wird entdeckt zu welcher Figur gehört sie?; [3173: Gemeinsames Spielfeld, ]
9: Für Detektiv Spürnase ist das kein Problem.; []
10: Spielinhalt; []
11: 30 1 Dose mit Knete Spielziel; []
12: Wer schafft es zuerst drei Spuren zu erraten?; [1492: Siegbedingung, ]
13: Spielvorbereitung; []
14: Alle werden in den Schachteldeckel gelegt und diese in die Mitte gestellt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
15: Die Knete wird bereitgelegt.; [1492: Siegbedingung, ]
16: Spielablauf; []
17: Das jüngste Kind beginnt.; []
18: Nimm die Knete forme sie zu einem Ball und drücke sie dann flach.; []
19: Danach nimmst du geheim ein beliebiges Tier oder eine andere Form aus der Schachtel und drückst es in die Knete.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
20: Drücke aber nicht die ganze Form hinein sondern zum Beispiel nur den Kopf oder die Ohren oder den Schwanz.; []
21: Je weniger der Abdruck von der Form zeigt desto schwieriger ist das Raten.; [8528: Siegpunkte, ]
22: Natürlich dürfen die anderen Kinder dir dabei nicht zu schauen.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
23: Am besten hältst du die Knete beim Abdrücken unter den Tisch.; [1292: Zufall, 7090: Kooperative Spielform, ]
24: Lege dann die verwendete Form in die Schachtel zurück und mische die durcheinander.; [1292: Zufall, ]
25: Raten Gib; []
26: die Knete mit dem Abdruck an das Kind das links von dir sitzt.; [8536: Aktionspunkte, ]
27: Dieses Kind ist jetzt Detektiv oder Detektivin Abdruck vergleichen passendes Teil probieren 1 Versuch!; [7090: Kooperative Spielform, ]
28: Richtig; []
29: Figur behalten Abdruck neu Falsch; []
30: Knete weitergeben; []
31: Neuer Detektiv 1 mal raten Richtiges Teil gefunden?; [7090: Kooperative Spielform, ]
32: 3; []
33: Figuren Spürnase.; [7090: Kooperative Spielform, ]
34: Spürnase muß nun herausfinden zu welcher Figur der Abdruck gehört und vergleicht ihn mit den in der Schachtel.; [1292: Zufall, ]
35: Sie oder er hat aber nur einen Versuch.; []
36: Glaubt der Detektiv die richtige Figur gefunden zu haben nimmt er sie aus der Schachtel und probiert ob sie in den Abdruck paßt.; []
37: Er darf aber nur einmal in die Schachtel greifen.; []
38: Richtig Paßt die Figur so darf Spürnase sie als Belohnung behalten.; [7090: Kooperative Spielform, ]
39: Das nächste Kind bekommt die Knete entfernt den alten Abdruck und drückt eine neue Form hinein.; []
40: Falsch Paßt das ausgewählte Teil nicht in den Abdruck so gibt das Kind die Knete mit dem Abdruck an das nächste Kind links von ihm weiter.; [8536: Aktionspunkte, ]
41: Dieses Kind ist nun der neue Detektiv und darf ein mal raten indem es eine neue aus der Schachtel auswählt.; []
42: Reihum wird bis das richtige Teil gefunden ist.; []
43: Das Kind welches den Abdruck her gestellt hat wird natürlich beim Raten übersprungen.; []
44: Spielende; []
45: Hast du; []
46: als erste oder erster drei Figuren gesammelt bist du Meisterdetektiv und gewinnst das Spiel.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
