0: IM 0 0 0 0 21 Hi Hi 0 00 0 0 0 21 Hi 0 0 0 0 0 15 HI IM 1 eh; []
1: 0 3 1 0 13 HI HI 0 0 0 0 18 im 0 0 0 0 17 HI 0 0 0 00 0 0 0 16 iM 0 0 0 0 0 0 1 18 1; []
2: IM 0 0 0 0 0 1 15 0 0 0 0 11; []
3: UM UM 0 0 00 0 0 HI; []
4: IM IM 0 co 00 0 0 0 17 0 0 00 0 0 13 in 0 0 0 0 0 21 im 0 3 0 0 17 UM UM; []
5: co 0 0 0 0 0 17 HI IM; []
6: IM 00 0 0 0 0 1 0 hi 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 14 HI IM IM 0 0 0 0 0 0 0 0 17; []
7: ORBIT; []
8: ALEX; []
9: RAN; []
10: Spielregeln für ORBIT für 1 Spieler; [8528: Siegpunkte, 1492: Siegbedingung, ]
11: Drei hat Alex für Sie unter ein Thema gestellt das er selbst wie folgt charakterisiert; []
12: In diesen drei Spielen scheint alles durch den Zufall bestimmt zu sein doch spielt Glück überhaupt keine Rolle.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
13: In jeder Runde geben Würfel also das Schicksal eine Ausgangssituation vor.; [1292: Zufall, 8528: Siegpunkte, 73230: Symmetrische Startbedingung, 1492: Siegbedingung, ]
14: Danach ist es jedem Spieler überlassen damit etwas anzufangen oder es auch bleiben zu lassen.; [73230: Symmetrische Startbedingung, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
15: Orbit ist die und gleichzeitig leichteste Spielart ein Familienspiel aber dennoch sehr anspruchsvoll.; []
16: ist eine zu die aber schon höhere Anforderungen an Ihren stellt.; []
17: schließlich ist das Meisterstück ein etwas für Denk akrobaten!; []
18: Das Spielbrett trägt auf und Rückseite zwei verschiedene Spielpläne.; [3173: Gemeinsames Spielfeld, ]
19: Orbit wird auf der Seite mit den 7 gespielt die anderen beiden Spiele auf der Rückseite.; []
20: Das Schwarze Loch in der Mitte des nimmt während des Spiels die Würfel auf.; [1292: Zufall, 164466: Loswerden, ]
21: Der Spieler mit den Würfeln schüttelt sie in beiden Händen und läßt sie dann über dem Schwarzen Loch in die Mitte des Spielbretts fallen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
22: Orbit; []
23: Ein Denkspiel für 3 bis 6 Personen Sechs Himmelskörper schweben am Firmament und die Flugbahn eines jeden wird von einem eigenen Würfel vorherbestimmt.; [1292: Zufall, 8536: Aktionspunkte, ]
24: Kein Spieler kann an dieser Situation auf dem Spielplan etwas ändern.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
25: Doch jeder weiß in welcher Reihenfolge und Richtung die Himmelskörper ziehen und auf welchem Feld sie landen werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
26: Nun gilt es den richtigen Himmelskörper in Besitz zu nehmen um einzelne Chips oder sogar die zu erringen.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
27: Spielmaterial; []
28: Der Spielplan zeigt die Umlaufbahn eines Planeten mit 7 im Kreis angeordneten 6 sind die Himmelskörper in den Farben des Regenbogens rot orange gelb grün blau violett schwarze wird in Orbit nicht benutzt 6 farbige Würfel; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
29: einen für jeden jeder Würfel bestimmt wie weit der gleicher Farbe zieht 1 Sonderwürfel; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
30: er bestimmt in welche Richtung die ziehen 6 mit denen die Spieler zeitweise in Besitz nehmen 72 hölzerne Chips; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
31: der 2 Vor dem Spiel; []
32: 1 Spieler wählt einen und erhält 12 Chips seine Chips hält jeder vor den anderen geheim.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
33: 2.; []
34: Ein Spieler wird zum Meister der Sterne gewählt; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
35: er führt die Aktionen auf dem Spielbrett aus hat von dieser Rolle aber keine Vorteile im Spiel der Titel wird in den folgenden Runden jeweils an den Spieler zur Linken weitergegeben.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
36: 3.; []
37: Der Meister verteilt die 6 auf dem Spielplan.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
38: Auf jedem Feld darf nur ein Träger stehen die farbige Ecke der hat für die Verteilung keine Bedeutung.; [8536: Aktionspunkte, ]
39: Spielablauf; []
40: 1.; []
41: Jeder Spieler zahlt zu Beginn einen Chip in den diese Chips werden innen an den Rand das Schwarzen Loches gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
42: Zu Beginn der folgenden Runden müssen die Spieler nur zahlen wenn weniger Chips im Topf liegen als Spieler teilnehmen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
43: 2.; []
44: Der Meister wirft die 6 farbigen und den Sonderwürfel ins Schwarze Loch und schafft damit die Jeder farbige bestimmt wie weit der dieser Farbe zieht.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
45: Der Sonderwürfel legt fest in welcher Richtung und in welcher Reihenfolge entsprechend den Regenbogenfarben die Träger ziehen im Uhrzeigersinn Reihenfolge rot orange gelb grün blau violett den Uhrzeigersinn; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
46: Reihenfolge violett blau grün gelb orange rot.; [8536: Aktionspunkte, ]
47: Die Zugreihenfolge ist auf dem Spielfeld zweimal abzulesen anhand der farbigen Ecken auf den an der Reihe mit den 6 farbigen Dreiecken.; [3173: Gemeinsames Spielfeld, ]
48: 3. Sofort nachdem die Würfel gefallen sind überlegt jeder Spieler welchen Himmelskörper er in Besitz nehmen will.; [1292: Zufall, 1492: Siegbedingung, ]
49: Jeder versucht denjenigen zu finden mit dem er den ganzen gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
50: 3; []
51: Sobald ein Spieler glaubt; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
52: den lukrativsten gefunden zu haben nimmt er ihn mit seinem in Besitz.; []
53: Dabei gibt es keine vorgeschriebene Reihenfolge; []
54: Wer zuerst entscheidet legt seinen Stein zuerst.; [164466: Loswerden, ]
55: 4; []
56: Der erste und der letzte Spieler die ihren gesetzt haben zahlen jeweils einen zusätzlichen in den 5. Sobald alle Spieler ihre verteilt haben bewegt der Meister; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
57: die entsprechend ihren Nach jedem Zusammentreffen zweier Träger wird sofort die Prämie gezahlt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
58: Die Prämien Landet ein auf einem Feld das von einem anderen Träger besetzt ist erhält der Besitzer des Neuankömmlings vom Besitzer des anderen Trägers einen Chip.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
59: Bei weniger als 6 Spielern werden nicht alle in Besitz genommen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
