0: GmbH 6072 Dreieich 1988 1; []
1: KREUZFAHRT Kreuz und quer durchs Mittelmeer; []
2: KREUZFAHRT; []
3: Ein taktisches Familienspiel für 2 bis 4 Spieler ab 10 Jahren Autor Spielidee Reisen; []
4: das ist schon was Schönes!; []
5: Nur schade daß man sich da wo man hinreist so wenig auskennt; []
6: Da kann jeder Weg ein Umweg sein!; []
7: Und so kann die Reise zu einer regelrechten Odyssee werden!; []
8: Eine ungewöhnliche Kreuzfahrt die schnell zur Irrfahrt werden kann ist Thema dieses Spiels.; [164466: Loswerden, ]
9: Tricksen Sie Ihre Mitspieler aus und planen sie Ihre Reiseroute genau.; []
10: Nur so können Sie besser abschneiden und als erster die Sehenswürdig besichtigt haben.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
11: 1.; []
12: Ziel des Spiels Jeder der Spieler ist ein Urlauber der mit Linien schiffen zu verschiedenen Sehens Kloster Pyramide und Vulkan machen muß.; [73230: Symmetrische Startbedingung, 3142: Verlierbedingung, 1492: Siegbedingung, ]
13: Gleichzeitig gilt es die Mit spieler am Erreichen derselben Ziele zu hindern.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
14: Wer eine Sehenswürdigkeit erreicht erhält das betreffende Kärtchen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
15: Sieger wird wer zuerst drei verschiedene Karten besitzt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
16: 2. Spielinhalt 4; []
17: Urlauber; []
18: Spielfiguren; []
19: 4 Schiffe 16 Karten mit Sehenswürdigkeiten je 4 mal Kloster Pyramide Vulkan und 3 Sperren; [1292: Zufall, 8528: Siegpunkte, ]
20: Hölzchen 1 aus Karton; []
21: 5 Rückseite; []
22: 5 Rückseite; []
23: 24 3. Spielvorbereitung; []
24: 3.1.; []
25: von der Spielerzahl werden alle 4 Schiffe in ihren gestellt die häfen erkennt man daran daß sie die gleiche Farbe wie das jeweilige Schiff haben.; [1292: Zufall, ]
26: Die 5 kommen mit der Rückseite nach oben auf einen Stapel ebenso die 5 mit der Rückseite.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
27: Die 16 Karten werden; [1292: Zufall, ]
28: nach den Abbildungen sortiert Sieger wird wer zuerst drei verschiedene Sehenswürdigkeiten besucht hat.; [164466: Loswerden, 1492: Siegbedingung, ]
29: 4 Schiffe in den Alle 3 getrennt die Sperren und die Sandsturm neben Spielplan legen und neben den Spielplan gelegt ebenso die 3 Sperren und; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
30: die 3.2.Jeder Spieler erhält 3; [8528: Siegpunkte, 1492: Siegbedingung, ]
31: Die übrigen bleiben bei der Bank in der Spielschachtel.; [1492: Siegbedingung, ]
32: Der jüngste Spieler nimmt sich eine Spielfigur und setzt sie auf ein Schiff seiner Wahl.; [1292: Zufall, 3142: Verlierbedingung, ]
33: Die anderen Spieler verfahren reihum genauso.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
34: Zu Spielbeginn darf nur eine Figur auf einem Schiff sein.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
35: 4.; []
36: Spielverlauf; []
37: Der jüngste Spieler beginnt.; [1292: Zufall, 164466: Loswerden, ]
38: Danach spielt man im Uhrzeigersinn weiter.; []
39: Der Spieler der an der Reihe ist muß entweder 3 verbrauchen oder eine Karte ziehen.; [1292: Zufall, ]
40: 4.1.; []
41: Verbrauch der Der Spieler darf seine 3 beliebig auf alle Schiffe und seine Spielfigur verteilen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
42: Die haben übrigens nichts mit den zu tun; []
43: Jeder Spieler darf jedes Schiff bewegen ganz gleich ob seine Spielfigur an Bord ist oder nicht.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
44: Auch Schiffe mit fremden Figuren darf man ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
45: Die Spielfigur allein darf jedoch nur von dem Spieler gezogen werden dem sie gehört.; [1292: Zufall, 8536: Aktionspunkte, ]
46: 3 pro Spieler; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
47: Jüngster Spieler beginnt; [164466: Loswerden, ]
48: Jeder setzt seine Figur auf ein Schiff; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
49: Entweder 3 Felder ziehen oder eine Karte ziehen dürfen beliebig auf eigene Spielfigur und alle Schiffe verteilt werden; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
50: Beispiel Weiß braucht nur einen Zug um den Vulkan zu erreichen.; []
51: Den zweiten und dritten Zug benutzt Weiß um das grüne Schiff das Schwarz kurz verlassen hatte und wieder zu besteigen vor hatte aufs offene Meer zu schicken.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
