0: top!; []
1: Schon fertig gelesen?; [7090: Kooperative Spielform, ]
2: Dann kennen Sie jetzt das Geheimnis des Erfolgs und können nach allen Regeln der Kunst aufspielen.; []
3: Ausgedacht haben sich das übrigens die Udo Barbara Thorsten Andreas Gerd und Kräftig geholfen haben die von Ravensburger und der Wolfgang Kramer.; [7090: Kooperative Spielform, ]
4: So dann wollen wir Sie jetzt nicht länger von Ihrem Glück abhalten.; [1292: Zufall, ]
5: Und sollte es Ihnen mal nicht treu sein können Sie sich damit trösten daß Sie auf jeden Fall an gewonnen haben.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
6: top; []
7: .; []
8: Das Geheimnis des Erfolgs.; []
9: Spielregeln.; []
10: Das Spielmaterial 1 Würfel; [1292: Zufall, ]
11: 6 Spielfiguren; []
12: 6 Kurzspielregeln 30 28 2 Stück für jedes Aktionsfeld 6 Stück für das Forschung Entwicklung; [1492: Siegbedingung, ]
13: 2 Punkte 24 20 für die erweiterte Version Tempo 1 Punkt; [8528: Siegpunkte, 1492: Siegbedingung, ]
14: Der Spielplan Hindernisfeld Startfeld Trennlinie Zielfeld top.; [3173: Gemeinsames Spielfeld, ]
15: Das Geheimnis des Erfolgs.; []
16: Ein pfiffiges Spiel für Personen ab 8 Jahren.; [7090: Kooperative Spielform, ]
17: Spielidee; []
18: Jeder Spieler ist Unternehmer.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
19: Als stolzer Besitzer einer eigenen Firma versucht er natürlich sein Unternehmen auf Vordermann zu bringen schneller als die lästige Konkurrenz zu sein und den Kunden rundum zufriedenzustellen.; [3173: Gemeinsames Spielfeld, ]
20: Wie?; []
21: Ganz einfach indem der Spieler Hindernisse abbaut ein Management der kurzen Wege einführt die einzelnen Bereiche zu Teams; [164466: Loswerden, 7090: Kooperative Spielform, ]
22: vereinigt die Entscheidungen dort treffen läßt wo die Kompetenz ist ein kreatives Betriebsklima schafft in allen Aktionen top ist und den Kunden am schnellsten versorgt.; [8536: Aktionspunkte, ]
23: Business hat hier ausgespielt.; []
24: Nur wer das Geheimnis des Erfolgs kennt wird am Ende die Nase vorn haben.; [164466: Loswerden, ]
25: Und um das Ganze noch ein bißchen spannender zu machen können Sie zwischen drei verschiedenen wählen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
26: Grundversion; []
27: Hier kommt es auf eine und Schnelligkeit an.; []
28: Schnelligkeit ist einen wert.; [8528: Siegpunkte, ]
29: Sie kann auf die zwei bereits genannten Arten gespielt werden.; []
30: Wobei diesmal der Teamgeist im Vordergrund steht.; []
31: Wir empfehlen Ihnen mit der Grund version zu beginnen.; []
32: Grundversion Spielmaterial 1; []
33: Spielplan; []
34: 6 Spielfiguren 30 28 mit 24 variable 1 Sonderwürfel; [1292: Zufall, ]
35: 6 Kurzspielregeln; []
36: Spielziel Ziel ist es seine Firma so zu organisieren daß der Kunde am schnellsten bedient wird.; []
37: Wie top die Firma tatsächlich ist wird an gemessen.; []
38: Um zu gewinnen ist eine Mindestpunktzahl erforderlich.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
39: Diese ist abhängig von der Anzahl der Spieler.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
40: an bei 2 Spielern 20 bei 3 Spielern 16 bei 4 Spielern 14 bei 5 oder 6 Spielern 12 Sieger wird wer die Mindestpunktzahl oder mehr besitzt und als erster mit seiner Figur das Zielfeld erreicht.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
41: Verkauf 2; []
42: Punk; []
43: Forschung Entwicklung 2; []
44: Punk Aktionäre 2; []
45: Punk Familie 3; []
46: Punk; []
47: Einkauf; []
48: 1 2 Punk; []
49: IM 3; []
50: Punk Lieferant 2; []
51: Punk Fertigung; []
52: 2 Punk Politik 2; []
53: Punk; []
54: Versand 2; []
55: Punk Wett; []
56: bewerb er 3 Punk 7; []
57: Punk; []
58: Die mit Spielplan; [3173: Gemeinsames Spielfeld, ]
59: Der Spielplan besteht aus verschiedenen Feldern.; [3173: Gemeinsames Spielfeld, ]
60: Als da wären Auf diesen Feldern können die Figuren bewegt werden.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
61: Sonderfelder Das sind alle mit Motiven die und das Zielfeld.; [1292: Zufall, 164466: Loswerden, ]
62: Hindernisfelder Dies sind die Felder.; [7090: Kooperative Spielform, ]
63: Und wie der Name schon sagt können sie nicht begangen werden.; []
