0: 1994 Schmid Prien Made in Germany; []
1: Nr. 7267 71243.6 JA; []
2: GEHT; []
3: DENN NOCH; []
4: VERRÜCKTER; []
5: ?; []
6: Da wird einer bei jeder Etappe Erster und ist am Schluß doch Letzter!; [8528: Siegpunkte, 1492: Siegbedingung, ]
7: Der Zweite wollte eigentlich Dritte; []
8: wer den wird aber nur Vierter.; [1492: Siegbedingung, ]
9: Und der Letzte wird als Fünf doch Erster!; [1492: Siegbedingung, ]
10: Sei ist einfach alles möglich!; []
11: Die Wettkarten bestimmen wo langgeht.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
12: Jeder Spieler erhält eine geheim!; [8528: Siegpunkte, 1492: Siegbedingung, ]
13: So weiß er genau welche Plazierungen er in den drei Etappen des Rennens erreichen sollte.; [1292: Zufall, 8536: Aktionspunkte, ]
14: Mitte der kann man seine eigene verkürzen oder verlängern oder die der Rivalen.; [8536: Aktionspunkte, ]
15: Und die Aktionskarten sorgen für noch mehr Abwechslung da muß dann einer der besonders eilig hat plötzlich aussetzen und ein Schlei muß zweimal hintereinander ziehen.; [1292: Zufall, 3142: Verlierbedingung, ]
16: Immer spannender wird das Rennen immer verrückter sein Verlauf.; []
17: Erst zum Schluß werden die Wettkarten offen gelegt.; [1292: Zufall, ]
18: Sieger; []
19: de testen Rennens seit Erfindung des Turnschuhs; []
20: ist wer seine Wette am besten erfüllt hat.; [8528: Siegpunkte, ]
21: 1 Spielplan; []
22: 5 6 27 Aktionskarten 20 Wettkarten; [1292: Zufall, ]
23: 15 5 Spielfiguren; []
24: 2 Würfel; []
25: DAS ZUBEHÖR; []
26: Per Spielplan zeigt; [3173: Gemeinsames Spielfeld, ]
27: 5 identische unterteilt in 3 Etappen lila blau rot die jeweils in 5 Abschnitte mit je 4 Feldern eingeteilt sind.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
28: 1.; []
29: ETAPPE; []
30: 2.; []
31: ETAPPE; []
32: 3.; []
33: ETAPPE; []
34: Laufbahn Abschnitt 5 pro Etappe Feld 4 pro Abschnitt 5 6 zeigen; [8536: Aktionspunkte, ]
35: jeweils einen Ab schnitt mit 0 bis 5 Feldern.; [8536: Aktionspunkte, ]
36: Sie werden während des Spiels auf dem Spielplan abgelegt und verändern die Länge der 2 27 Aktionskarten können den Spielern für sich selbst mit oder gegen andere mit eingesetzt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
37: 0; []
38: Du darfst nicht würfeln.; [1292: Zufall, 8536: Aktionspunkte, ]
39: Lege eine beliebige Strecken karte um.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
40: 20 Wettkarten zeigen die an die die Spieler in den 3 einzelnen Etappen zu erfüllen haben.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
41: Diese Reihe gilt bei 3 Spielern; [164466: Loswerden, ]
42: Diese Reihe gilt bei 4 Spielern; [164466: Loswerden, ]
43: Diese Reihe gilt bei 5 Spielern Hinweis; [164466: Loswerden, ]
44: Für das Rennen mit 5 Spielern gibt es weder den 1. noch; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
45: den 5. Platz auf den Wettkarten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
46: 15 zeigen die Plätze 1 bis 5 in den 3 einzelnen Etappen.; []
47: Sie werden während des Rennens entsprechend an die Spieler verteilt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
48: 5 Spielfiguren.; []
49: Es empfiehlt sich die Farben reihum entsprechend der Startplätze zu verteilen.; [1292: Zufall, ]
50: 2 Würfel.; [1292: Zufall, ]
51: 3; []
52: DAS GRUNDSPIEL; []
53: DAS GRUNDSPIEL ohne Aktions karten Zunächst wird das GRUNDSPIEL sozusagen als Training zum Warmlaufen vorgestellt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
54: Es eignet sich besonders zum Kennenlernen von oder wenn jüngere Kinder mit spielen.; [3142: Verlierbedingung, ]
55: Jeder Spieler erhält Spielfigur; [8528: Siegpunkte, 1492: Siegbedingung, ]
56: Wett karte 4; [1292: Zufall, 164466: Loswerden, ]
57: DIE VORBEREITUNG; []
58: Der Spielplan wird in der Tischmitte ausgebreitet.; [3173: Gemeinsames Spielfeld, ]
59: Jeder Spieler erhält Spielfigur die er auf das Startfeld stellt.; [8528: Siegpunkte, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
60: Nur auf der anschließenden Laufbahn bewegt er seine Spielfigur vor die Sahnen werden nie gewechselt.; [1292: Zufall, 8536: Aktionspunkte, ]
61: Restliche Wettkarten verdeckt zur Seite legen Wettkarte die er vor den neugierigen Augen seiner Mitspieler; [1292: Zufall, ]
62: tun verdeckt halten sollte.; [1292: Zufall, ]
63: Er weiß nun genau welche Plazierungen er in den 3 Etappen des Rennens belegen sollte um zu gewinnen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
64: Die restlichen Wettkarten werden nicht mehr benötigt und zurück in die Schachtel gelegt.; [1292: Zufall, 1492: Siegbedingung, ]
65: Restliche als verdeckten Stapel bereitlegen 4 die er auf die Hand nimmt und ebenfalls vor den Mitspielern verdeckt hält.; [1292: Zufall, ]
66: Die restlichen werden gut gemischt als verdeckter Aufnahmestapel neben dem Spielplan bereitgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
67: Die Aktionskarten werden in dem Grundspiel nicht verwendet und in der Schachtel belassen.; [1292: Zufall, ]
68: 4; []
69: Die werden nach Etappen so neben dem Plan bereitgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
70: Die Würfel erhält der Spieler der beginnt.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
71: DER STARTSCHUSS IST GEFALLEN!; []
72: Der schnellste Spieler beginnt.; [164466: Loswerden, 1492: Siegbedingung, ]
73: Anschließend geht es im Uhrzeigersinn reihum weiter.; []
74: Wer an der Reihe ist hat zwei aufeinander folgende Zugmöglichkeiten 1.; []
75: Eine ausspielen 2. würfeln und seine Figur vorwärtsziehen.; [1292: Zufall, ]
76: 1.; []
77: Das Ausspielen von dem Würfeln kann eine Karte pro Zug gespielt werden muß aber nicht.; [1292: Zufall, ]
78: Eine kann auf jeden beliebigen freien Abschnitt also auch auf die Sahnen der Mitspieler gelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
79: Freie Abschnitte sind solche auf denen sich weder eine Figur noch eine andere befinden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
80: Statt auf den Spielplan kann eine Strecken karte auch auf einen Ablagestapel gespielt werden damit man anschließend vielleicht eine besser geeignete nachziehen kann.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
81: Hat ein Spieler eine Karte gespielt zieht er am Ende seines Zuges wieder eine vom Aufnahmestapel so daß er also immer über 4 verfügt.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
82: 5 ebenfalls bereitlegen Immer zwei Zugmöglichkeiten 1.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
83: spielen dürfen nicht müssen vor dem Würfeln genau 1 Karte auf freien Abschnitt auch von Mitspielern nachziehen so daß man immer 4 Karten hat 2. Würfeln und 2. Würfeln und Figur bewegen laufen; [1292: Zufall, ]
84: Man muß stets mit beiden Würfeln würfeln müssen nicht und die Figur entsprechend vorwärtsziehen dürfen; [1292: Zufall, 8536: Aktionspunkte, ]
85: Jedes Feld zählt dabei einen Würfelpunkt.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
86: stets mit beiden Würfeln Überquert man eine werden die restlichen Würfelpunkte auf den Feldern dahinter normal weitergezogen.; [1292: Zufall, 8528: Siegpunkte, ]
