0: Spielplan bestehend aus drei Teilen Spielziel; [3173: Gemeinsames Spielfeld, ]
1: Wer würfelt die richtigen Farben umrundet als Erster die Laufbahn und bringt seine drei Spiel figuren als Sieger ins Ziel?; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
2: Spielvorbereitung; []
3: Setzt den Spielplan zusammen und legt ihn für alle gut erreichbar in die Mitte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
4: Jeder Spieler wählt eine Farbe und stellt die Spielfiguren dieser Farbe auf die in den Ecken des Wer als Letzter Geburtstag hatte beginnt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
5: Danach seid ihr im Uhrzeigersinn an der Reihe.; []
6: Und los geht Wer an der Reihe ist würfelt mit dem Farbwürfel.; [1292: Zufall, 164466: Loswerden, ]
7: Solange noch keine eurer Spielfiguren auf der Laufbahn ist dürft ihr bis zu dreimal würfeln.; [1292: Zufall, ]
8: Würfelt ihr eure eigene Farbe setzt ihr eine eurer Figuren auf das erste Feld der Laufbahn Pfeilfeld Sobald eine eurer Figuren auf der Laufbahn steht dürft ihr nur noch einmal würfeln wenn ihr an der Reihe seid.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, 166903: Ankommen, ]
9: Hinweis; []
10: Sollte es im Verlauf des Spiels nochmals dazu kommen dass ihr; []
11: keine Spielfigur mehr auf der Laufbahn habt dürft ihr natürlich wieder bis zu drei Mal würfeln um eine Figur vom Startfeld auf das Pfeilfeld zu ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
12: Der Würfel bestimmt wie weit ihr eure Figuren bei jedem Spielzug ziehen dürft Immer bis zum nächsten Feld der Farbe die der Würfel zeigt.; [1292: Zufall, 8536: Aktionspunkte, ]
13: Habt ihr mehrere Figuren auf der Laufbahn könnt ihr euch aussuchen mit welcher Figur ihr ziehen möchtet.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
14: Weiterhin gilt noch Folgendes euren; []
15: erreicht habt dürft ihr eure Spielfigur sofort auf das letzte freie der drei ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 166903: Ankommen, ]
16: Über das dürft ihr nicht hinausziehen.; [1292: Zufall, ]
17: Das heißt ihr umrundet die Laufbahn nur einmal.; [7090: Kooperative Spielform, ]
18: Könnt ihr euren Würfelwurf mit keiner eurer Figuren ausführen verfällt er und der nächste Spieler ist an der Reihe.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
19: Eure eigenen und die Figuren der anderen Spieler dürft ihr jederzeit überspringen.; [8536: Aktionspunkte, ]
20: Endet euer Zug auf einem Feld auf dem bereits eine andere Figur steht wird diese hinausgeworfen und zurück auf ihr Startfeld gesetzt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
21: Eigene Figuren können nicht hinaus geworfen werden.; []
22: Wenn ihr mit der entsprechenden Farbe das Feld vor Spielende; [1292: Zufall, 8536: Aktionspunkte, ]
23: Wer als Erster seine drei Spielfiguren ins Ziel gebracht hat gewinnt das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
24: Schmidt; []
25: Spiele GmbH; []
26: 21 Berlin; []
27: Mensch ärgere Dich nicht http; []
