0: Nr. 1772; []
1: Einleitung; []
2: Der Räuber Hotzenplotz; []
3: Ein Spiel; []
4: Der ebenso gefürchtete wie schlaue Räuber Hotzenplotz konnte lange Zeit sein Unwesen ungehindert treiben.; []
5: Nun hat die Polizei endlich herausgebracht daß der Räuber seine geraubten Schätze in einer Höhle mitten im Wald verborgen hält; []
6: Deshalb bittet die Polizei die Einwohner aller um den Wald liegenden Dörfer sich beim Einfangen des Schurken zu beteiligen.; [164466: Loswerden, ]
7: Der Räuber macht es seinen Verfolgern allerdings nicht leicht denn er hat in weiser Voraussicht Fallgruben in großer Zahl angelegt die sich als sehr unangenehme Hindernisse erweisen.; [1292: Zufall, ]
8: Trotzdem setzt sich von den verschiedenen Dörfern je eine Gruppe Freiwilliger in Marsch Spielverlauf 1.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
9: An diesem Spiel können 2 4 Personen teilnehmen.; []
10: Die größte Spannung wird jedoch bei der Beteiligung von 4 Spielern erreicht 2.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
11: Bevor das Spiel beginnt wird ein Spielleiter bestimmt.; [7090: Kooperative Spielform, ]
12: Er hat die an der einen Seite des Spieles sichtbare Drehscheibe zu bedienen und erhält außerdem die zur Aufbewahrung und späteren Ausgabe.; [1292: Zufall, ]
13: Das Spiel wird so daß der Spielleiter die Drehscheibe eicht erreichen kann.; [1292: Zufall, 164466: Loswerden, 7090: Kooperative Spielform, 166903: Ankommen, ]
14: 3.; []
15: Jeder Teilnehmer erhält 6 Figuren gleicher Farbe.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
16: Er stellt sie in den entsprechenden Kreis in einem Eck des auf.; []
17: tein keine Möglichkeit mit einer seiner ihm noch verb lieb nr weil; []
18: die Figuren schon nahe an der Figuren zu aber zu hoch ist so muß er die; [7090: Kooperative Spielform, ]
19: am vom 8 1 ei Spieler in die Räuberhöhle wird de mit 6; []
20: Für weitere Figuren bekommen; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
21: die 9 3 2 5 3 Spielbeginn sind die 5?4 4 3 3 3 2 2 2 1 1 6 oben aufliegt.; []
22: Es folgen; []
23: Das wird solange fortgesetzt bis die fetzte Figur entweder in die Räuberhöhle vorgedrungen oder eine Falle gerutscht ist.; [7090: Kooperative Spielform, ]
24: Auch für die letzte noch im Spiel befindliche Figur gelten die allgemeinen Regeln.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
25: Die wird auch hier nur dann verändert wenn die unter Ziffer 5 oder Ziffer 7 angeführten Fälle eintreten.; []
26: Wer am Schluß die meisten besitzt ist Sieger denn er hat den Nachweis erbracht daß seine Beteiligung beim Einfangen des Räubers Hotzenplotz und bei der der geraubten Schätze besonders groß war.; [1492: Siegbedingung, 8528: Siegpunkte, ]
27: 4.; []
28: Jetzt bewegt der Spielleiter die Drehscheibe langsam in Uhrzeigerrichtung bis bei einem Spieler im besonders gekennzeichneten eine er scheint.; [1292: Zufall, 164466: Loswerden, ]
29: Dieser Spieler eröffnet das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
30: Er rückt eine seiner Figuren sechs Felder vorwärts.; [7090: Kooperative Spielform, ]
31: Die anderen Spieler schließen sich in der an und setzen ihre erste Figur nach den in ihrem Die blei ben auch in den folgenden solange unverändert bis ein Spieler gezwungen ist eine seiner Figuren in ein als überfalle erkennbares Feld zu stellen siehe die Erklärung unter Ziffer 5 Außerdem werden die nur noch dann verändert wenn im späteren Verlauf des Spieles der unter Ziffer 7 näher erläuterte Fall eintritt.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
32: Den Spielern ist es überlassen ob sie nacheinander mehrere Figuren auf den Weg bringen wollen oder nur mit zunächst einer Figur vorrücken möchten.; [3173: Gemeinsames Spielfeld, ]
33: Mehrere Figuren im Spiel zu haben ist jedoch von Vorteil weil die bereits besetzten Felder beim Überholen nicht mitgezählt werden und ein rascheres Vorwärtskommen erzielt wird.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
34: Nach dieser Regel besetzte Felder nicht sondern zu über springen ist es also unmöglich daß mehrere Figuren gleichzeitig auf ein Feld gestellt werden 5.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
35: Sobald ein Spieler gezwungen ist eine seiner Figuren in ein als er Feld zu stellen muß der Spielleiter die Drehscheibe weiterbewegen bis es Fallen auf Figuren die dabei in den sich öffnenden Fallgruben verschwinden scheiden aus.; [1292: Zufall, 7090: Kooperative Spielform, 166903: Ankommen, ]
36: Anschließend an die wird die Drehscheibe wieder bis auf Fallen weitergedreht und das Spiel mit den veränderten Marsch zahlen fortgesetzt.; [1292: Zufall, 166903: Ankommen, ]
37: 6.; []
38: Hat ein Spieler eine seiner Figuren im dunklen Wald die letzten sechs Felder vor der Räuberhöhle sind; [1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
39: durch Färbung dunkler Wald gekennzeichnet so kann er mit seinen noch nachfolgenden Figuren die Abkürzung markierte benützen.; [8536: Aktionspunkte, ]
40: Diese Abkürzung darf er allerdings nur dann gehen wenn er die entsprechende Figur mit einem Zug unmittelbar bis in die Räuberhöhle kann.; [8536: Aktionspunkte, ]
41: Diesen Vorteil darf ein Spieler natürlich auch dann in Anspruch nehmen wenn er bereits die erste Figur in der Räuberhöhle stehen hat.; [3173: Gemeinsames Spielfeld, ]
