0: Ziel Nacheinander klopfen drei Kinder je eine Zutat.; []
1: Das vierte Kind hört genau zu und versucht die Karte zu finden auf der die drei geklopften Zutaten zu sehen sind.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
2: Vorbereitung; []
3: Legt den Kochlöffel bereit.; []
4: Breitet alle Zutatenkarten die drei Zutaten zeigen offen auf dem Tisch aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
5: Die übrigen Zutatenkarten werden beiseitegelegt.; [1292: Zufall, 1492: Siegbedingung, ]
6: Die Klopfkarten werden als verdeckter Stapel bereitgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
7: Ablauf; []
8: Kind schaut sich die Zutatenkarten an und klopft das Signal für eine Zutat die es auf einer der Zutatenkarten sieht.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
9: Es verrät nicht welche Karte es im Blick hat.; [1292: Zufall, ]
10: Dann gibt es den Löffel im Uhrzeigersinn weiter.; []
11: Kind 2 klopft eine weitere Zutat.; []
12: Beide Zutaten müssen auf einer Karte zu sehen sein!; [1292: Zufall, ]
13: Kind 3 klopft die dritte Zutat.; []
14: Sie muss ebenfalls auf der Karte sein auf der auch die anderen beiden geklopften Zutaten sind.; [1292: Zufall, ]
15: Das vierte Kind zeigt auf die passende Karte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
16: Anschließend erhält es den Löffel und eine neue Runde beginnt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
17: Entscheidet selbst wie lange ihr spielen möchtet.; []
18: noch mehr gibt es die Erweiterung; [8528: Siegpunkte, 1492: Siegbedingung, ]
19: Die ist separat erhältlich und mit den Spielen 2 und 3 dieser; []
20: Auf den Karten der Spielerweiterung sind Früchte mit zwei bis fünf Silben zu sehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
21: Da sich die Rückseiten der Klopfkarten jedoch unterscheiden gibt es eine Änderung im Spielablauf; [1292: Zufall, ]
22: Karla zeigt die Rückseite der und so wissen alle ob oder gefunden werden sollen.; [3173: Gemeinsames Spielfeld, ]
23: Erst danach klopft sie mit dem Löffel die vorgeschriebenen Signale auf den Tisch.; []
24: Informationen bitte aufbewahren!; []
25: 2010 Überarbeitete und erweiterte Neuausgabe 2016 Edition Siebenschläfer 53 12103 Berlin; []
26: Art.; []
27: Nr.; []
28: 108 Autorin und Illustratorin Anja facebook.com http Ohren gut gespitzt; []
29: Welche Signale gibt Karla mit dem Löffel? und Illustratorin Anja Eine in der genaues Hinhören ein gutes Gedächtnis und schnelles Reagieren gefragt sind.; [8536: Aktionspunkte, ]
30: für 2 6 Kinder ah 5 Jahren.; [7090: Kooperative Spielform, ]
31: Edition; []
32: Siebenschläfer Ideen für Aufgeweckte; []
33: Karla backt Kuchen; []
34: Mehl Milch Butter und Zucker sind bereits in der Schüssel.; []
