0: Nr. 172 1; []
1: Spielregel; []
2: Einleitung; []
3: Bei diesem Spiel werden nicht nur Figuren sondern auch Zäune bewegt.; []
4: Durch diese Zäune unterscheidet sich das Spiel vollkommen von anderen Spielen.; []
5: Es ist einfach hat aber ungezählte Möglichkeiten so daß niemals der Ablauf von zwei Spielen gleich sein kann.; []
6: Ziel des Spieles ist es der erste Spieler zu sein; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
7: der seine vier in das Mittelfeld bringt.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
8: Ausstattung; []
9: Das Spiel enthält 16 jeweils 4 von 4 Farben 24 Zäune jeweils sechs von 4 Farben 2 Würfel und 1 Spielplan.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
10: Der Spielplan hat viele Felder die jeweils durch 4 Schlitze begrenzt werden in diese Schlitze können die Zäune gesteckt werden jeder Ecke des Spiel; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
11: planes befindet sich ein Startfeld mit 2 Ausgängen in der Mitte das Ziel mit 4 Eingängen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
12: Vorbereitung; []
13: An können sich 2 3 oder 4 Spieler beteiligen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
14: Jeder Spieler wählt 4 einer Farbe aus und stellt in jede der 4 Ecken einen Spielstein.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
15: Jeder Spieler nimmt dann die sechs Zäune in der Farbe seiner und steckt sie auf der Seite an der; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
16: er sitzt in die sechs Schlitze die mit schwarzen Rhomben bedruckt sind.; []
17: Bei drei Spielern muß der Eingang zum Mittelfeld auf der Seite auf der kein Spieler sitzt durch drei Zäune der freien Farbe verriegelt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
