0: Spielplan; []
1: 220 Karten mit über 2200 seltenen Begriffen aus über 150 verschiedenen Lexika Karteikasten 8 Spielanleitung ab 14 Jahre Erwachsene Minuten Design Johann Marianne und Bernd Michael Spieler wählt einen Spielstein.; [1292: Zufall, 164466: Loswerden, ]
2: Dieser wird erst auf den Parcours wenn man Punkte bekommt da es kein Startfeld gibt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
3: Beim ersten den man erhält setzt man auf Feld 1 usw. werden die 220 Spielkarten gemischt und in den Karteikasten gestellt.; [1292: Zufall, ]
4: braucht Schreibzeug und erhält vom ein Blatt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
5: Dadurch ist daß man nicht schon an der Art der Zettel erkennen kann was Spieler geschrieben wurde.; [8536: Aktionspunkte, ]
6: nuß nur noch ein Spieler bestimmt werden der für den ersten Begriff des übernimmt bekommt man keine Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
7: jedem Begriff wechselt der Spielleiter.; [1492: Siegbedingung, ]
8: Am besten im Uhrzeigersinn. muß diese Rolle gleich oft übernehmen.; []
9: ziel beim einerseits darum einen vom Spielleiter unbekannten Begriff so überzeugend und originell wie möglich definieren. geht es darum die richtige Definition dieses Begriffes zu; []
10: Der Spielleiter liest nämlich der Reihe nach die von den Spielern Definitionen der richtigen Definition die nur Spielverlauf beliebige der 220 Karten entscheidet sich für einen der darauf abgedruckten Begriffe egal ob von der oder Rückseite und liest den Begriff laut vor.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
11: Die Definition dieses Begriffes gibt er zunächst nicht bekannt.; []
12: Wichtig; []
13: Wenn ein oder mehrere Spieler den ausgewählten Begriff kennen wählt der Spielleiter einen anderen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
14: Nun versucht jeder Spieler den in einem Lexikon üblich definieren.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
15: Diese Definition muß notgedrungen unsinnig sein denn man kennt ja die Bedeutung des Begriffes nicht.; []
16: Es geht vielmehr darum die so zu gestalten daß sie glaubhaft wirkt.; []
17: Der Phantasie sind keine Grenzen gesetzt!; []
18: Jeder Spieler schreibt seine Definition auf das Blatt des versieht es mit seinem Namen und gibt es beim Spielleiter ab.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
19: Der Spielleiter schreibt von der Karte die richtige Definition ebenfalls auf ein Blatt und mischt es unter die anderen.; [1292: Zufall, ]
20: Dann liest er die Definitionen der Reihe nach vor und läßt sich beim Vorlesen der richtigen nichts anmerken.; [7090: Kooperative Spielform, ]
21: Ein Beispiel verdeutlicht das Ganze; []
22: In einer Spielrunde hatte der Spielleiter den Begriff ausgewählt.; []
23: Folgende Definitionen einschließlich der richtigen konnte er vorlesen die krankhafte Neigung afrikanischer auf alle möglichen hohlen Gegenstände zu schlagen eine neurotische Nachwirkung; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
24: langjähriger als Schlagzeuger besonders bei Wiederkäuern auftretende Krankheit mit starker des Leibes infolge gesteigerter im Magen die besondere Art des Hauptdarstellers in dem Film Die Blechtrommel seine Marschtrommel zu schlagen eine in der Natur selten vorkommende Krankheit des auch nach dem noch pausenlos Jetzt kommt der entscheidende Moment des Spieles Welche Definition war die richtige?; []
25: Jeder Spieler muß sich für eine Definition entscheiden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
26: Der Spielleiter hält die Entscheidung auf dem betreffenden Blatt fest.; []
27: Danach gibt er die richtige Definition bekannt.; []
28: Die Beim kann man auf zweierlei Art zu Punkten kommen 1.; [8528: Siegpunkte, ]
29: Wer auf die richtige Definition getippt hat bekommt einen Punkt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
30: 2.; []
31: Wer eine so überzeugende schrieb daß ein oder mehrere Mitspieler sie für die richtige hielten bekommt zwei Zusatz punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
32: Eine solche Definition die einem Spieler Zusatzpunkte bringt darf aber inhaltlich nicht mit der richtigen übereinstimmen!; [8528: Siegpunkte, 164466: Loswerden, ]
33: Sollte das absichtlich oder zufällig der Fall sein bekommt der betreffende Spieler keine Zusatzpunkte.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
34: Ein Spieler kann also pro Begriff bis zu drei Punkte erhalten.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
35: Was ist mit dem Spieler an erster Position?; [164466: Loswerden, 1492: Siegbedingung, ]
36: Der Spieler der sich an erster Position befindet bekommt Erraten der richtigen Definition keinen Punkt!; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
37: Er kann beiden Zusatzpunkte bekommen wenn er einen oder mehrere andere Spieler mit seiner Glatteis führen konnte.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
38: Der weitere Spielverlauf; []
39: Nach der Vergabe der Punkte übernimmt der nächste Spieler die Rolle des wählt einen neuen Begriff aus usw... usw.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
40: Das Verrücken; []
41: Nach der rücken die Spieler mit ihrem Spielstein um so viele Felder vor wie sie Punkte erhalten haben.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
42: Wer keinen Punkt erhalten hat bleibt stehen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
43: Derjenige der an erster Position steht es können auch mehrere sein; []
44: dreht dabei seinen Stein auf die Alle anderen Stein werden mit der leeren Seite nach oben gesetzt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
45: Damit ist der Spieler an erster Position gut zu erkennen.; [164466: Loswerden, 7090: Kooperative Spielform, ]
46: elende spielt so lange bis ein Spieler das Ziel erreicht hat.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
47: betreffende Spieler hat gewonnen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
48: muß jedoch darauf geachtet werden daß jeder Spieler gleich oft als Spiel hat.; [164466: Loswerden, 3142: Verlierbedingung, ]
49: Notfalls müssen noch weitere Begriffe nachgespielt den.; []
50: diese Regelung kann es mehrere Gewinner geben.; [1492: Siegbedingung, ]
51: achtet nicht darauf ob einzelne Spieler die Begriffe kennen oder nicht vergibt nur die beiden Zusatzpunkte die man bekommt wenn; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
52: man landen Glatteis führt er; []
53: Spieler muß natürlich nach wie vor versuchen den richtigen Begriff zu ten; [164466: Loswerden, 7090: Kooperative Spielform, ]
54: er erhält jedoch keinen Punkt dafür.; [8528: Siegpunkte, 1492: Siegbedingung, ]
55: Regelung für den Spieler an erster Position entfällt hier.; [8528: Siegpunkte, 1492: Siegbedingung, ]
56: hobby spiel hobby GmbH Co.; [164466: Loswerden, ]
57: KG 38 Fürth 610 1896; []
58: Wer glaubt wird selig!; []
59: Hier darf jeder jeden aufs Glatteis führen!; []
60: Ein am Gesellschaftsspiel für 3 und mehr Leute ab 14 Jahren; [164466: Loswerden, ]
61: MARKT; []
