0: SPIELIDEE; []
1: Die haben sich ihre Instrumente geschnappt und feiern eine Party.; []
2: Während des Spiels deckt ihr reihum Karten auf.; [1292: Zufall, 164466: Loswerden, ]
3: Findet ihr zwei passende Karten muss geklingelt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
4: Wer als Erster klingelt erhält alle aufgedeckten Karten.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
5: Derjenige von euch der am Ende des Spiels die meisten Karten hat gewinnt!; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
6: SPIELVORBEREITUNG SPIELABLAUF; []
7: Mischt alle Karten und verteilt sie möglichst gleichmäßig an alle Spieler.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
8: Jeder von euch legt seine Karten als verdeckten Nachziehstapel vor sich.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
9: Stellt die Glocke in die Mitte des Tisches.; [3173: Gemeinsames Spielfeld, ]
10: Wer zuletzt Geburtstag hatte beginnt.; []
11: Die anderen Spieler folgen im Uhrzeigersinn.; [164466: Loswerden, 1492: Siegbedingung, ]
12: 2; []
13: In deinem Zug deckst du die oberste Karte deines auf und legst sie für alle Spieler gut sichtbar vor deinen Nach ziehstapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8528: Siegpunkte, ]
14: Dadurch bildet sich bei jedem von euch ein Ablagestapel auf den auch eure weiteren Karten abgelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
15: Beachte; []
16: Die Karte musst du von dir weg aufdecken sodass die anderen Spieler keinen Nachteil haben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
17: ES; []
18: WIRD GEKLINGELT!; []
19: Auf jeder Karte ist eine musizierende abgebildet.; [1292: Zufall, ]
20: Jede dieser Abbildungen hat drei Eigenschaften Frucht Pflaume Limone Banane oder Erd beere Farbe Violett Rot Gelb oder Grün Instrument Mikrofon Schlagzeug Saxofon oder Gitarre; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
21: Wenn auf zwei der aufgedeckten Karten mindestens zwei Eigenschaften überein stimmen müsst ihr so schnell wie möglich klingeln 4 gleiche Frucht und gleiche Farbe gleiches Instrument und gleiche Frucht gleiche Farbe und gleiches Instrument; [1292: Zufall, ]
22: Beide Karten teilen sich die Eigenschaften Gelb und Banane.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
23: Deshalb muss geklingelt werden.; []
24: 5; []
25: Die beiden Karten haben die Limone und die Gitarre gemeinsam.; [1292: Zufall, 7090: Kooperative Spielform, ]
26: Deshalb wird geklingelt.; []
27: Hier spielen zwei gelbe Früchte Schlagzeug also muss geklingelt werden.; [7090: Kooperative Spielform, ]
28: Zwei violette Pflaumen mit Mikrofon sind zu sehen.; [7090: Kooperative Spielform, ]
29: Es muss geklingelt werden.; []
30: 6 Derjenige von euch der als Erste erhält die Karten aller offenen und legt sie verdeckt unter sei Nachziehstapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
31: Danach deckt er eine Karte auf und beginnt damit eine neue Runde.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
32: FALSCH; []
33: GEKLINGELT; []
34: ?; []
35: Klingelt einer von euch zu Unrecht muss er zur Strafe jedem Mitspieler eine Karte sei geben.; [1292: Zufall, ]
36: Danach deckt der Spieler der an der Reihe ist die nächste Karte auf.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
37: KEINE KARTEN; []
38: MEHR; []
39: ?; []
40: Hat einer von euch seine letzte Karte auf gedeckt ist er noch nicht ausgeschieden.; [1292: Zufall, 164466: Loswerden, ]
41: Er bleibt noch so lange im Spiel bis er auch seinen Ablagestapel verloren hat.; [1292: Zufall, 3142: Verlierbedingung, ]
42: Bis dahin darf er weiterhin klingeln.; []
43: Beim Aufdecken der Karten wird er übersprungen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
44: 7; []
45: Das Spielende wird eingeläutet sobald nur noch zwei Spieler übrig sind.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
